Epoch,Train Loss,Val Loss,Time(s),Best Model Saved
1,4.1395,2.4389,184.5,Yes
2,3.1012,2.0984,194.6,Yes
3,2.6125,2.0239,199.9,Yes
4,2.4484,1.9258,205.1,Yes
5,2.3353,1.9067,208.0,Yes
6,2.1944,1.9276,212.6,No
7,2.1718,1.8019,212.9,Yes
8,2.1889,1.7545,213.4,Yes
9,2.1005,1.7392,213.2,Yes
10,2.0748,1.6752,215.7,Yes
11,2.0087,1.8730,215.6,No
12,2.0407,1.7368,214.9,No
13,1.9542,1.7087,215.5,No
14,1.9039,1.7514,216.0,No
15,1.9797,1.8368,214.4,No
16,1.9798,1.8624,216.1,No
17,1.9384,1.6872,216.8,No
18,1.9194,1.6882,216.1,No
19,1.8651,1.6996,215.1,No
20,1.7527,1.7791,217.1,No
21,1.6927,1.7503,217.1,No
22,1.7166,1.7748,216.9,No
23,1.7428,1.6955,216.6,No
24,1.6590,1.6144,216.7,Yes
25,1.5452,1.5526,216.9,Yes
26,1.6048,1.6667,216.6,No
27,1.6152,1.7285,217.9,No
28,1.6986,1.5846,218.5,No
29,1.5805,1.7280,216.6,No
30,1.6356,1.6658,218.3,No
31,1.5511,1.5271,216.6,Yes
32,1.5858,1.6472,215.9,No
33,1.5855,1.5882,217.6,No
34,1.5528,1.4865,220.6,Yes
35,1.5794,1.7183,218.0,No
36,1.4992,1.5258,217.6,No
37,1.5649,1.6411,216.7,No
38,1.5873,1.4862,218.3,Yes
39,1.5539,1.8310,217.9,No
40,1.4533,1.4807,219.5,Yes
41,1.4905,1.6211,217.0,No
42,1.4528,1.5207,217.1,No
43,1.3947,1.6346,217.3,No
44,1.5830,1.6576,215.7,No
45,1.4989,1.5678,218.4,No
46,1.4825,1.5786,216.0,No
47,1.4912,1.5048,217.6,No
48,1.4745,1.4571,217.7,Yes
49,1.5131,1.6170,218.0,No
50,1.3919,1.6185,217.7,No
51,1.4549,1.6442,217.8,No
52,1.5356,1.6704,218.0,No
53,1.4676,1.6184,217.3,No
54,1.4264,1.6638,218.2,No
55,1.4947,1.4919,216.5,No
56,1.6290,1.5417,215.9,No
57,1.4940,1.6387,216.0,No
58,1.4436,1.5732,217.3,No
59,1.5171,1.7068,216.6,No
60,1.5136,1.5637,218.7,No
61,1.4070,1.5972,217.9,No
62,1.4303,1.4788,215.9,No
63,1.4119,1.6341,218.7,No
64,1.5385,1.6226,218.0,No
65,1.5215,1.5680,218.8,No
66,1.4675,1.5875,217.1,No
67,1.3972,1.6228,217.8,No
68,1.4875,1.5725,218.3,No
69,1.4222,1.6945,217.8,No
70,1.4368,1.5670,217.2,No
71,1.5256,1.4582,220.1,No
72,1.4731,1.4711,219.8,No
73,1.4503,1.5706,218.8,No
74,1.5754,1.5476,216.6,No
75,1.4242,1.6058,217.6,No
76,1.5084,1.4958,217.8,No
77,1.4015,1.5574,217.5,No
78,1.5394,1.6645,216.9,No
79,1.3668,1.5419,217.5,No
80,1.3607,1.6218,218.0,No
81,1.3857,1.6297,217.1,No
82,1.3809,1.5410,219.7,No
83,1.4715,1.4700,218.2,No
84,1.4444,1.4991,217.9,No
85,1.3743,1.5918,217.1,No
86,1.5117,1.7082,218.4,No
87,1.3501,1.5830,217.9,No
88,1.3871,1.5022,218.0,No
89,1.3249,1.6269,217.4,No
90,1.4300,1.4354,216.6,Yes
91,1.4101,1.6493,217.4,No
92,1.4287,1.5187,216.0,No
93,1.4434,1.5040,215.2,No
94,1.4462,1.6735,216.4,No
95,1.4765,1.5432,216.8,No
96,1.4500,1.6486,216.4,No
97,1.4453,1.4371,217.6,No
98,1.4157,1.5405,217.7,No
99,1.4548,1.5184,218.0,No
100,1.5412,1.6830,219.4,No